accuracy,loss,val_accuracy,val_loss
0.3761904835700989,1.5067236423492432,0.5,1.0738943815231323
0.601190447807312,0.9432113766670227,0.7875000238418579,0.6431720852851868
0.788095235824585,0.6242349743843079,0.9375,0.4159778654575348
0.8880952596664429,0.42429080605506897,0.987500011920929,0.2862391769886017
0.9428571462631226,0.2999202311038971,0.987500011920929,0.21350355446338654
0.9666666388511658,0.22714190185070038,0.987500011920929,0.16525200009346008
0.976190447807312,0.1818733513355255,0.987500011920929,0.1320493072271347
0.9869047403335571,0.15271520614624023,0.987500011920929,0.11157850176095963
0.9916666746139526,0.1251852810382843,0.987500011920929,0.09008856117725372
0.9892857074737549,0.1046486422419548,0.987500011920929,0.08001121878623962
0.9916666746139526,0.09563206136226654,0.987500011920929,0.07081267237663269
0.9928571581840515,0.08344804495573044,0.987500011920929,0.06304822117090225
0.9940476417541504,0.07048194855451584,0.987500011920929,0.05610029771924019
0.9916666746139526,0.07025068998336792,0.987500011920929,0.05030710622668266
0.9964285492897034,0.05632823333144188,0.987500011920929,0.046812377870082855
0.9952380657196045,0.05552295595407486,0.987500011920929,0.04393194988369942
0.9976190328598022,0.04818304255604744,0.987500011920929,0.04064967483282089
0.9952380657196045,0.044127851724624634,0.987500011920929,0.03768278658390045
0.9988095164299011,0.04197552427649498,0.987500011920929,0.034874819219112396
0.9976190328598022,0.036027055233716965,0.987500011920929,0.03283344581723213
